"location","studlab","type","study_year","year_start","year_end","inferred_primary","event.e","n.e","time_on_art_median","vls_threshold","vls_prop","vl_time","id","regimen","NEW_2024","class","Region","loc","tri"
"Argentina, Brazil, South Africa, Tanzania, Thailand, US","joao_2021","peri","2021",2013,2018,"",0,76,16,200,0.97,"delivery",56,"EFV","Y","NNRTI","Multiple regions","mixed regions","2nd trimester"
"Argentina, Brazil, South Africa, Tanzania, Thailand, US","joao_2021","peri","2021",2013,2018,"",6,78,9,200,0.71,"delivery",58,"EFV","Y","NNRTI","Multiple regions","mixed regions","2nd trimester"
"Argentina, Brazil, South Africa, Tanzania, Thailand, US","joao_2021","peri","2021",2013,2018,"",0,71,16,200,0.96,"delivery",55,"RAL","Y","INSTI","Multiple regions","mixed regions","2nd trimester"
"Argentina, Brazil, South Africa, Tanzania, Thailand, US","joao_2021","peri","2021",2013,2018,"",1,82,8,200,0.93,"delivery",57,"RAL","Y","INSTI","Multiple regions","mixed regions","2nd trimester"
"Botswana","dryden-peterson_2011","peri","2011",2009,2010,"",1,114,13,NA,NA,"",31,"NVP","N","NNRTI","Eastern and southern Africa","SSA","2nd trimester"
"Botswana","dryden-peterson_2011","peri","2011",2009,2010,"",0,144,40,NA,NA,"",32,"NVP","N","NNRTI","Eastern and southern Africa","SSA","Preconception"
"Brazil","delicio_2011","peri","2011",2000,2009,"",2,12,1,NA,NA,"",29,"NVP","N","NNRTI","Latin America","non SSA","3rd trimester"
"Cameroon","nlend_2013","peri","2013",2012,2008,"Y",5,285,12,NA,NA,"",76,"EFV","N","NNRTI","Western and central Africa","SSA","2nd trimester"
"China","chen_2019","peri","2019",2007,2015,"Y",19,446,13,NA,NA,"",12,"EFV","Y","NNRTI","Asia and the Pacific","non SSA","2nd trimester"
"China","meyers_2015","peri","2015",2010,2012,"",11,248,6,NA,NA,"",70,"misc_reg","N","misc_reg","Asia and the Pacific","non SSA","3rd trimester"
"China","meyers_2015","peri","2015",2010,2012,"",5,946,26,NA,NA,"",71,"misc_reg","N","misc_reg","Asia and the Pacific","non SSA","1st trimester"
"Denmark","orbaek_2017","peri","2017",2002,2014,"",0,247,40,40,0.856,"delivery",77,"DTG","N","INSTI","Western and central Europe and North America","non SSA","Preconception"
"Europe","colbers_2015b","peri","2015b",NA,NA,"Y",0,11,40,NA,NA,"",28,"EFV","N","NNRTI","Western and central Europe and North America","non SSA","Preconception"
"Europe","blonk_2015","peri","2015",2010,2014,"",0,7,40,50,0.86,"delivery",6,"RAL","N","INSTI","Western and central Europe and North America","non SSA","Preconception"
"Europe","bailey_2011","peri","2011",2000,2009,"",5,41,1,NA,NA,"",4,"misc_reg","N","misc_reg","Western and central Europe and North America","non SSA","3rd trimester"
"Europe","colbers_2015a","peri","2015a",NA,NA,"Y",0,18,40,50,0.72,"third trimester",27,"misc_reg","N","misc_reg","Western and central Europe and North America","non SSA","Preconception"
"Europe","schalkwijk_2017","peri","2017",NA,NA,"",0,15,40,50,1,"third trimester",85,"misc_reg","N","misc_reg","Western and central Europe and North America","non SSA","Preconception"
"France","frange_2020","peri","2020",2010,2018,"Y",0,247,40,50,0.956,"delivery",34,"DTG","Y","INSTI","Western and central Europe and North America","non SSA","Preconception"
"France","tubiana_2013","peri","2013",2007,2010,"",1,36,13,50,0.972,"delivery",108,"LPV","N","PI","Western and central Europe and North America","non SSA","2nd trimester"
"France","siubiude_2022","peri","2022",2000,2005,"",22,1408,6,50,0.385927505,"delivery",89,"ATV","Y","PI","Western and central Europe and North America","non SSA","3rd trimester"
"France","siubiude_2022","peri","2022",2000,2005,"",1,290,34,50,0.668965517,"delivery",92,"ATV","Y","PI","Western and central Europe and North America","non SSA","1st trimester"
"France","siubiude_2022","peri","2022",2000,2005,"",16,1574,20,50,0.578780178,"delivery",95,"ATV","Y","PI","Western and central Europe and North America","non SSA","2nd trimester"
"France","mandelbrot_2015","peri","2015",2000,2011,"Y",6,3505,40,50,0.754,"delivery",123,"ATV","N","PI","Western and central Europe and North America","non SSA","Preconception"
"France","siubiude_2022","peri","2022",2011,2017,"",2,214,6,50,0.663551402,"delivery",91,"EFV","Y","NNRTI","Western and central Europe and North America","non SSA","3rd trimester"
"France","siubiude_2022","peri","2022",2011,2017,"",2,437,34,50,0.890160183,"delivery",94,"EFV","Y","NNRTI","Western and central Europe and North America","non SSA","1st trimester"
"France","siubiude_2022","peri","2022",2011,2017,"",4,897,20,50,0.826086957,"delivery",97,"EFV","Y","NNRTI","Western and central Europe and North America","non SSA","2nd trimester"
"France","siubiude_2022","peri","2022",2006,2010,"",11,418,6,50,0.602870813,"delivery",90,"NVP","Y","NNRTI","Western and central Europe and North America","non SSA","3rd trimester"
"France","siubiude_2022","peri","2022",2006,2010,"",3,362,34,50,0.870165746,"delivery",93,"NVP","Y","NNRTI","Western and central Europe and North America","non SSA","1st trimester"
"France","siubiude_2022","peri","2022",2006,2010,"",10,1463,20,50,0.758031442,"delivery",96,"NVP","Y","NNRTI","Western and central Europe and North America","non SSA","2nd trimester"
"France","gantner_2019","peri","2019",2008,2014,"Y",0,78,40,NA,NA,"",35,"RAL","Y","INSTI","Western and central Europe and North America","non SSA","Preconception"
"France","gantner_2019","peri","2019",2008,2014,"Y",0,16,6,NA,NA,"",36,"RAL","Y","INSTI","Western and central Europe and North America","non SSA","3rd trimester"
"France","siubiude_2022","peri","2022",2011,2017,"",3,3101,40,50,0.87,"delivery",88,"misc_reg","Y","misc_reg","Western and central Europe and North America","non SSA","Preconception"
"India","chauhan_2021","peri","2021",2016,2018,"",0,32,40,NA,NA,"",11,"misc_reg","Y","misc_reg","Asia and the Pacific","non SSA","Preconception"
"Kenya","thomas_2011","peri","2011",2003,2009,"",20,487,5,NA,NA,"delivery",98,"NVP","N","NNRTI","Eastern and southern Africa","SSA","3rd trimester"
