"year","tt","broad_pmtct","value","total_inf","run","inf_total"
1970,"perinatal","Maternal seroconversion",0,0,"Updated VT",0
1970,"bf","Maternal seroconversion",0,0,"Updated VT",0
1970,"perinatal","No PVT",0,0,"Updated VT",0
1970,"bf","No PVT",0,0,"Updated VT",0
1970,"perinatal","On ART pre-conception",0,0,"Updated VT",0
1970,"bf","On ART pre-conception",0,0,"Updated VT",0
1970,"perinatal","On ART, dropped out",0,0,"Updated VT",0
1970,"bf","On ART, dropped out",0,0,"Updated VT",0
1970,"perinatal","PVT, non-ART",0,0,"Updated VT",0
1970,"bf","PVT, non-ART",0,0,"Updated VT",0
1970,"perinatal","Started ART during pregnancy",0,0,"Updated VT",0
1970,"bf","Started ART during pregnancy",0,0,"Updated VT",0
1970,"perinatal","Started ART, dropped out",0,0,"Updated VT",0
1970,"bf","Started ART, dropped out",0,0,"Updated VT",0
1970,"perinatal","Maternal seroconversion",0,0,"Former VT",0
1970,"bf","Maternal seroconversion",0,0,"Former VT",0
1970,"perinatal","No PVT",0,0,"Former VT",0
1970,"bf","No PVT",0,0,"Former VT",0
1970,"perinatal","On ART pre-conception",0,0,"Former VT",0
1970,"bf","On ART pre-conception",0,0,"Former VT",0
1970,"perinatal","On ART, dropped out",0,0,"Former VT",0
1970,"bf","On ART, dropped out",0,0,"Former VT",0
1970,"perinatal","PVT, non-ART",0,0,"Former VT",0
1970,"bf","PVT, non-ART",0,0,"Former VT",0
1970,"perinatal","Started ART during pregnancy",0,0,"Former VT",0
1970,"bf","Started ART during pregnancy",0,0,"Former VT",0
1970,"perinatal","Started ART, dropped out",0,0,"Former VT",0
1970,"bf","Started ART, dropped out",0,0,"Former VT",0
1971,"perinatal","Maternal seroconversion",0,0,"Updated VT",0
1971,"bf","Maternal seroconversion",0,0,"Updated VT",0
1971,"perinatal","No PVT",0,0,"Updated VT",0
1971,"bf","No PVT",0,0,"Updated VT",0
1971,"perinatal","On ART pre-conception",0,0,"Updated VT",0
1971,"bf","On ART pre-conception",0,0,"Updated VT",0
1971,"perinatal","On ART, dropped out",0,0,"Updated VT",0
1971,"bf","On ART, dropped out",0,0,"Updated VT",0
1971,"perinatal","PVT, non-ART",0,0,"Updated VT",0
1971,"bf","PVT, non-ART",0,0,"Updated VT",0
1971,"perinatal","Started ART during pregnancy",0,0,"Updated VT",0
1971,"bf","Started ART during pregnancy",0,0,"Updated VT",0
1971,"perinatal","Started ART, dropped out",0,0,"Updated VT",0
1971,"bf","Started ART, dropped out",0,0,"Updated VT",0
1971,"perinatal","Maternal seroconversion",0,0,"Former VT",0
1971,"bf","Maternal seroconversion",0,0,"Former VT",0
1971,"perinatal","No PVT",0,0,"Former VT",0
1971,"bf","No PVT",0,0,"Former VT",0
1971,"perinatal","On ART pre-conception",0,0,"Former VT",0
1971,"bf","On ART pre-conception",0,0,"Former VT",0
1971,"perinatal","On ART, dropped out",0,0,"Former VT",0
1971,"bf","On ART, dropped out",0,0,"Former VT",0
1971,"perinatal","PVT, non-ART",0,0,"Former VT",0
1971,"bf","PVT, non-ART",0,0,"Former VT",0
1971,"perinatal","Started ART during pregnancy",0,0,"Former VT",0
1971,"bf","Started ART during pregnancy",0,0,"Former VT",0
1971,"perinatal","Started ART, dropped out",0,0,"Former VT",0
1971,"bf","Started ART, dropped out",0,0,"Former VT",0
1972,"perinatal","Maternal seroconversion",0,0,"Updated VT",0
1972,"bf","Maternal seroconversion",0,0,"Updated VT",0
1972,"perinatal","No PVT",0,0,"Updated VT",0
1972,"bf","No PVT",0,0,"Updated VT",0
1972,"perinatal","On ART pre-conception",0,0,"Updated VT",0
1972,"bf","On ART pre-conception",0,0,"Updated VT",0
1972,"perinatal","On ART, dropped out",0,0,"Updated VT",0
1972,"bf","On ART, dropped out",0,0,"Updated VT",0
1972,"perinatal","PVT, non-ART",0,0,"Updated VT",0
1972,"bf","PVT, non-ART",0,0,"Updated VT",0
1972,"perinatal","Started ART during pregnancy",0,0,"Updated VT",0
1972,"bf","Started ART during pregnancy",0,0,"Updated VT",0
1972,"perinatal","Started ART, dropped out",0,0,"Updated VT",0
1972,"bf","Started ART, dropped out",0,0,"Updated VT",0
1972,"perinatal","Maternal seroconversion",0,0,"Former VT",0
1972,"bf","Maternal seroconversion",0,0,"Former VT",0
1972,"perinatal","No PVT",0,0,"Former VT",0
1972,"bf","No PVT",0,0,"Former VT",0
1972,"perinatal","On ART pre-conception",0,0,"Former VT",0
1972,"bf","On ART pre-conception",0,0,"Former VT",0
1972,"perinatal","On ART, dropped out",0,0,"Former VT",0
1972,"bf","On ART, dropped out",0,0,"Former VT",0
1972,"perinatal","PVT, non-ART",0,0,"Former VT",0
1972,"bf","PVT, non-ART",0,0,"Former VT",0
1972,"perinatal","Started ART during pregnancy",0,0,"Former VT",0
1972,"bf","Started ART during pregnancy",0,0,"Former VT",0
1972,"perinatal","Started ART, dropped out",0,0,"Former VT",0
1972,"bf","Started ART, dropped out",0,0,"Former VT",0
1973,"perinatal","Maternal seroconversion",0,0,"Updated VT",0
1973,"bf","Maternal seroconversion",0,0,"Updated VT",0
1973,"perinatal","No PVT",0,0,"Updated VT",0
1973,"bf","No PVT",0,0,"Updated VT",0
1973,"perinatal","On ART pre-conception",0,0,"Updated VT",0
1973,"bf","On ART pre-conception",0,0,"Updated VT",0
1973,"perinatal","On ART, dropped out",0,0,"Updated VT",0
1973,"bf","On ART, dropped out",0,0,"Updated VT",0
1973,"perinatal","PVT, non-ART",0,0,"Updated VT",0
1973,"bf","PVT, non-ART",0,0,"Updated VT",0
1973,"perinatal","Started ART during pregnancy",0,0,"Updated VT",0
1973,"bf","Started ART during pregnancy",0,0,"Updated VT",0
1973,"perinatal","Started ART, dropped out",0,0,"Updated VT",0
1973,"bf","Started ART, dropped out",0,0,"Updated VT",0
1973,"perinatal","Maternal seroconversion",0,0,"Former VT",0
1973,"bf","Maternal seroconversion",0,0,"Former VT",0
1973,"perinatal","No PVT",0,0,"Former VT",0
1973,"bf","No PVT",0,0,"Former VT",0
1973,"perinatal","On ART pre-conception",0,0,"Former VT",0
1973,"bf","On ART pre-conception",0,0,"Former VT",0
1973,"perinatal","On ART, dropped out",0,0,"Former VT",0
1973,"bf","On ART, dropped out",0,0,"Former VT",0
1973,"perinatal","PVT, non-ART",0,0,"Former VT",0
1973,"bf","PVT, non-ART",0,0,"Former VT",0
1973,"perinatal","Started ART during pregnancy",0,0,"Former VT",0
1973,"bf","Started ART during pregnancy",0,0,"Former VT",0
1973,"perinatal","Started ART, dropped out",0,0,"Former VT",0
1973,"bf","Started ART, dropped out",0,0,"Former VT",0
1974,"perinatal","Maternal seroconversion",0,0,"Updated VT",0
1974,"bf","Maternal seroconversion",0,0,"Updated VT",0
1974,"perinatal","No PVT",0,0,"Updated VT",0
1974,"bf","No PVT",0,0,"Updated VT",0
1974,"perinatal","On ART pre-conception",0,0,"Updated VT",0
1974,"bf","On ART pre-conception",0,0,"Updated VT",0
1974,"perinatal","On ART, dropped out",0,0,"Updated VT",0
1974,"bf","On ART, dropped out",0,0,"Updated VT",0
1974,"perinatal","PVT, non-ART",0,0,"Updated VT",0
1974,"bf","PVT, non-ART",0,0,"Updated VT",0
1974,"perinatal","Started ART during pregnancy",0,0,"Updated VT",0
1974,"bf","Started ART during pregnancy",0,0,"Updated VT",0
1974,"perinatal","Started ART, dropped out",0,0,"Updated VT",0
1974,"bf","Started ART, dropped out",0,0,"Updated VT",0
1974,"perinatal","Maternal seroconversion",0,0,"Former VT",0
1974,"bf","Maternal seroconversion",0,0,"Former VT",0
1974,"perinatal","No PVT",0,0,"Former VT",0
1974,"bf","No PVT",0,0,"Former VT",0
1974,"perinatal","On ART pre-conception",0,0,"Former VT",0
1974,"bf","On ART pre-conception",0,0,"Former VT",0
1974,"perinatal","On ART, dropped out",0,0,"Former VT",0
1974,"bf","On ART, dropped out",0,0,"Former VT",0
1974,"perinatal","PVT, non-ART",0,0,"Former VT",0
1974,"bf","PVT, non-ART",0,0,"Former VT",0
1974,"perinatal","Started ART during pregnancy",0,0,"Former VT",0
1974,"bf","Started ART during pregnancy",0,0,"Former VT",0
1974,"perinatal","Started ART, dropped out",0,0,"Former VT",0
1974,"bf","Started ART, dropped out",0,0,"Former VT",0
1975,"perinatal","Maternal seroconversion",11.3633511011454,65.2374109435545,"Updated VT",61.8892250887219
1975,"bf","Maternal seroconversion",45.4139240097656,65.2374109435545,"Updated VT",61.8892250887219
1975,"perinatal","No PVT",4.9963801367875,65.2374109435545,"Updated VT",61.8892250887219
1975,"bf","No PVT",3.46375569585601,65.2374109435545,"Updated VT",61.8892250887219
1975,"perinatal","On ART pre-conception",0,65.2374109435545,"Updated VT",61.8892250887219
1975,"bf","On ART pre-conception",0,65.2374109435545,"Updated VT",61.8892250887219
1975,"perinatal","On ART, dropped out",0,65.2374109435545,"Updated VT",61.8892250887219
1975,"bf","On ART, dropped out",0,65.2374109435545,"Updated VT",61.8892250887219
1975,"perinatal","PVT, non-ART",0,65.2374109435545,"Updated VT",61.8892250887219
1975,"bf","PVT, non-ART",0,65.2374109435545,"Updated VT",61.8892250887219
1975,"perinatal","Started ART during pregnancy",0,65.2374109435545,"Updated VT",61.8892250887219
1975,"bf","Started ART during pregnancy",0,65.2374109435545,"Updated VT",61.8892250887219
1975,"perinatal","Started ART, dropped out",0,65.2374109435545,"Updated VT",61.8892250887219
1975,"bf","Started ART, dropped out",0,65.2374109435545,"Updated VT",61.8892250887219
1975,"perinatal","Maternal seroconversion",11.3496176033455,61.8892248259822,"Former VT",61.8892250887219
1975,"bf","Maternal seroconversion",43.1822694443987,61.8892248259822,"Former VT",61.8892250887219
1975,"perinatal","No PVT",4.81356610429743,61.8892248259822,"Former VT",61.8892250887219
1975,"bf","No PVT",2.54377167394061,61.8892248259822,"Former VT",61.8892250887219
