author,study_year,Appendix reference,cd4_factor,type,default,sr_2012,sr_2015,added_sr_2019,sr_2019,update_2024,SR_2024,reported_prop,n.e,upper,lower,Notes,cd4_mid,time_on_art_median,,info_for_plot1,info_for_plot2,info_for_plot3
aebi-popp,2022,1,G,2,,,,,,Included,Included,,,,,,,,,,,
aebi-popp,2022,1,G,1,,,,,,Included,Included,,,,,,,,,,,
amone,2023,2,F,1,,,,,,Included,Included,,,,,,,,,,,
bailey,2011,3,E,1,,,Included,,,Included,,,,,,,,,,,,
bailey,2011,3,F,1,,,Included,,,,Excluded,0.011052938,1719,0.0172,0.0071,Excluded as we couldn't verify whether women started ART before pregnancy,,,,,,
becquet,2010,111,A,2,,Included,Included,,,,Excluded,,,,,Personal communication,,,,,,
becquet,2010,111,C,2,Included,Included,Included,,,,Excluded,0.0096,,,,Personal communication,,,,,,
birkhead,2010,4,D,1,Included,Included,Included,,Included,Included,,,,,,,,,,,,
black,2008,5,F,1,,,Included,,,Included,,,,,,,,,,,,
blonk,2015,6,G,1,Included,,,,Included,Included,,,,,,,,,,,,
bornhede,2018,7,F,1,,,,,,Included,,,,,,,,,,,,
bornhede,2018,7,G,1,Included,,,,Included,Included,,,,,,,,,,,,
carey,2018,8,F,1,,,,,,Included,,,,,,,,,,,,
carey,2018,8,G,1,Included,,,Included,Included,Included,,,,,,,,,,,,
chasela,2010,9,I,2,Included,Included,Included,,Included,Included,,,,,,,,,,,,
chasela,2010,9,C,2,,,,,Included,Included,,,,,,,,,,,,
chasela,2010,9,H,2,,Included,Included,,,,,,,,,,,,,,,
chasela,2010,9,G,2,,Included,Included,,,,,,,,,,,,,,,
chauhan,2021,10,G,1,,,,,,Included,Included,,,,,,,,,,,
chen,2019,11,F,1,,,,,,Included,Included,,,,,,,,,,,
chibwesha,2011,12,F,1,Included,,Included,,Included,Included,,,,,,,,,,,,
chibwesha,2011,12,E,1,Included,,Included,,Included,Included,,,,,,,,,,,,
chibwesha,2011,12,H,1,Included,,Included,,Included,Included,,,,,,,,,,,,
coetzee,2019,14,E,1,,,,,,Included,Included,,,,,,,,,,,
coetzee,2019,14,G,1,,,,,,Included,Included,,,,,,,,,,,
coetzee,2019,14,F,1,,,,,,Included,Included,,,,,,,,,,,
coetzee,2019,14,K,1,,,,,,Included,Included,,,,,,,,,,,
coetzee,2019,14,B,1,,,,,,Included,Included,,,,,,,,,,,
cohan,2015,15,F,2,Included,,Included,,,Included,,,,,,,,,,,,
cohan,2015,15,F,1,,,Included,,,Included,,,,,,,,,,,,
cohan,2015,15,H,1,Included,,Included,,Included,Included,,,,,,,,,,,,
cohan,2015,15,H,2,,,Included,,Included,Included,,,,,,,,,,,,
colbers,2015a,16,G,1,Included,,,,Included,Included,,,,,,,,,,,,
colbers,2015b,17,G,1,Included,,,,Included,Included,,,,,,,,,,,,
colebunders,1988,18,D,2,Included,,Included,,Included,Included,,,,,,,,,,,,
connor,1994,19,C,1,,Included,Included,,,Included,,,,,,,,,,,,
coovadia fowler,2012,20,L,2,Included,,Included,,Included,,,0.0062,434,0.0201,0.0024,six weeks of NVP not single dose,,,,,,
coovadia fowler,2012,20,M,2,Included,,Included,,Included,,,0.018,54,0.0977,0.0033,six weeks of NVP not single dose,,,,,,
coovadia fowler,2012,20,A,2,,,,,,Included,,,,,,,,,,,,
coovadia fowler,2012,20,C,2,,,,,,Included,,,,,,,,,,,,
coovadia fowler,2012,20,I,2,Included,,Included,,Included,Included,,,,,,,,,,,,
coovadia fowler,2012,20,K,2,Included,,Included,,Included,Included,,,,,,,,,,,,
dabis,1999,21,C,2,,Included,Included,,,Included,,,,,,,,,,,,
dabis,1999,21,C,1,,Included,Included,,,Included,,,,,,,,,,,,
de schacht,2014,22,D,2,Included,,Included,,Included,Included,,,,,,,,,,,,
delicio,2011,23,E,1,,,Included,,,Included,,,,,,,,,,,,
dinh,2015,24,D,1,Included,,Included,,Included,Included,,,,,,,,,,,,
dinh,2018,25,G,1,Included,,,,Included,Included,,,,,,,,,,,,
dinh,2018,25,H,1,Included,,,,Included,Included,,,,,,,,,,,,
dryden-peterson,2011,26,I,1,Included,,Included,,Included,Included,,,,,,,,,,,,
dryden-peterson,2011,26,F,1,,,Included,,,Included,,,,,,,,,,,,
dryden-peterson,2011,26,G,1,Included,,Included,,Included,Included,,,,,,,,,,,,
dunn,1992,113,D,2,Included,Included,Included,,,,,0.285714286,42,0.306796137,0.264632435,Excluded as this is a review,,,,,,
ekpini,1997,28,D,2,Included,Included,Included,,Included,Included,,,,,,,,,,,,
embree,2000,29,D,2,Included,,Included,,Included,Included,,,,,,,,,,,,
ewenighi-amankwah,2020,30,G,1,,,,,,Included,Included,,,,,,,,,,,
ewing,2018,114,J,1,Included,,,,,,,0.052307692,2275,0.052499511,0.052115874,Conference abstract ,,,,,,
finocchario,2015,31,H,1,Included,,Included,,Included,Included,,,,,,,,,,,,
finocchario,2015,31,I,1,Included,,Included,,Included,Included,,,,,,,,,,,,
flynn,2018,32,I,2,,,,Included,Included,Included,,,,,,,,,,,,
flynn,2018,32,K,2,Included,,,Included,Included,Included,,,,,,,,,,,,
flynn,2018,32,H,2,,,,Included,Included,Included,,,,,,,,,,,,
flynn,2018,32,F,2,Included,,,,,,,0.0003,648,0.001633411,-0.001033411,insufficent information on time on ART,,,,,,
fowler,2015,115,I,1,Included,,Included,,Included,,,0.018,1386,0.024999491,0.011000509,,,,,,,
fowler,2015,115,K,1,Included,,Included,,Included,,,0.018,1386,0.024999491,0.011000509,Excluded as not a peer reviewed study. ,,,,,,
frange,2020,33,G,1,,,,,,Included,Included,,,,,,,,,,,
gantner,2019,34,F,1,,,,,,Included,Included,,,,,,,,,,,
gantner,2019,34,G,1,,,,,,Included,Included,,,,,,,,,,,
gibb,2012,35,G,2,Included,,Included,,Included,Included,,,,,,,,,,,,
gibb,2012,35,G,1,Included,,Included,,Included,Included,,,,,,,,,,,,
gill,2017,36,G,2,,,,,,Included,,,,,,,,,,,,
gill,2017,36,F,2,Included,,,,,Included,,,,,,,,,,,,
gill,2017,36,F,1,,,,,,Included,,,,,,,,,,,,
gill,2017,36,H,1,Included,,,,Included,Included,,,,,,,,,,,,
gill,2017,36,G,1,Included,,,,Included,Included,,,,,,,,,,,,
gill,2017,36,H,2,,,,,Included,Included,,,,,,,,,,,,
giuliano,2014,37,H,1,Included,,Included,,Included,Included,,,,,,,,,,,,
giuliano,2014,37,F,2,Included,,Included,,,Included,,,,,,,,,,,,
giuliano,2014,37,F,1,,,Included,,,Included,,,,,,,,,,,,
giuliano,2014,37,H,2,,,Included,,Included,Included,,,,,,,,,,,,
goga,2016,40,F,1,,,,,,Included,,,,,,,,,,,,
goga,2015,39,K,1,,,Included,,,Included,,,,,,,,,,,,
goga,2016,40,K,1,,,,,,Included,,,,,,,,,,,,
goga,2016,40,H,1,Included,,,,Included,Included,,,,,,,,,,,,
goga,2015,39,I,1,Included,,Included,,Included,Included,,,,,,,,,,,,
goga,2016,40,I,1,,,,,Included,Included,,,,,,,,,,,,
goga,2016,40,C,1,,,,,Included,Included,,,,,,,,,,,,
goga,2020,38,G,2,,,,,,Included,Included,,,,,,,,,,,
goga,2020,38,F,2,,,,,,Included,Included,,,,,,,,,,,
goga,2020,38,G,1,,,,,,Included,Included,,,,,,,,,,,
goga,2020,38,F,1,,,,,,Included,Included,,,,,,,,,,,
guay,1999,41,J,1,Included,Included,Included,,Included,Included,,,,,,,,,,,,
habib,2021,42,C,1,,,,,,Included,Included,,,,,,,,,,,
harrington,2019,43,F,1,,,,,,Included,Included,,,,,,,,,,,
hira,1990,44,D,2,Included,,Included,,Included,Included,,,,,,,,,,,,
hoffman,2010,45,J,1,Included,,,,Included,Included,,,,,,,,,,,,
hoffman,2010,45,E,1,Included,,,,Included,Included,,,,,,,,,,,,
hoffman,2010,45,F,1,Included,,,,Included,Included,,,,,,,,,,,,
hoffman,2010,45,G,1,Included,Included,Included,,Included,Included,,,,,,,,,,,,
hoffman,2010,45,A,1,,Included,,,,Included,,,,,,,,,,,,
humphrey,2010,46,D,2,Included,Included,Included,,Included,Included,,,,,,,,,,,,
humphrey,2010,46,A,1,Included,Included,Included,,,,,0.224,549,0.258875847,0.189124153,Excluded as not a peer reviewed study. ,100,,,,,
humphrey,2010,46,B,1,Included,Included,Included,,,,,0.131,891,0.153154541,0.108845459,Excluded as not a peer-reviewed study.,275,,,,,
humphrey,2010,46,C,1,Included,Included,Included,,,,,0.097,2094,0.109676445,0.084323555,Excluded as not a peer-reviewed study.,500,,,,,
humphrey,2010,46,A,2,,Included,Included,,,,Excluded,,,,,Excluded as not a peer-reviewed study.,,,,,,
humphrey,2010,46,C,2,Included,Included,Included,,,,Excluded,0.0051,,,,Excluded as not a peer-reviewed study.,,,,,,
huntington,2011,47,G,1,Included,,Included,,Included,Included,,,,,,,,,,,,
iliff,2005,48,C,1,Included,Included,Included,,Included,Included,,,,,,,,,,,,
joao,2021,49,F,1,,,,,,Included,Included,,,,,,,,,,,
kesho bora,2010,50,L,2,Included,,,,Included,Included,,,,,,,,,,,,
kesho bora,2010,50,M,2,Included,,,,Included,Included,,,,,,,,,,,,
kesho bora,2011,51,H,1,Included,,,,Included,Included,,,,,,,,,,,,
kesho bora,2011,51,I,1,Included,Included,Included,,Included,Included,,,,,,,,,,,,
kesho bora,2010,50,H,2,,,,,Included,Included,,,,,,,,,,,,
kesho bora,2011,51,H,1,,Included,Included,,,,,,,,,,,,,,,
kesho bora,2011,51,H,2,,Included,Included,,Included,Included,,,,,,,,,,,,
kesho bora,2011,51,G,1,,Included,,,,,,,,,,,,,,,,
kesho bora,2011,51,G,2,,Included,,,,,,,,,,,,,,,,
kesho bora,2011,51,C,2,Included,Included,Included,,,,,0.0048,,,,"wasn't truly untreated, mothers had azt",,,,,,
kilewo,2009,52,F,2,Included,,Included,,,Included,,,,,,,,,,,,
kilewo,2009,52,H,1,Included,,Included,,Included,Included,,,,,,,,,,,,
kilewo,2009,52,H,2,,,Included,,Included,Included,,,,,,,,,,,,
kim,2013,53,G,2,Included,,Included,,Included,Included,,,,,,,,,,,,
kim,2013,53,G,1,Included,,Included,,Included,Included,,,,,,,,,,,,
kuhn,2010,54,L,2,Included,,,,Included,,,0.002,469,0.002362018,0.001637982,These people weren't on ART,,,,,,
kuhn,2010,54,M,2,Included,,,,Included,,,0.0092,524,0.009432289,0.008967711,,,,,,,
kuhn,2010,54,C,2,Included,Included,Included,,Included,Included,,,,,,,,,,,,
kuhn,2010,54,A,2,,Included,Included,,,Included,,,,,,,,,,,,
lallemant,2004,55,K,1,,Included,Included,,,Included,,,,,,,,,,,,
lallemant,2004,55,I,1,Included,Included,Included,,,,,0.018867925,636,0.0327,0.0108,Specifies that AZT started after week 28,,,,,,
leroy,2005,116,A,1,Included,Included,Included,,,,,0.419751046,956,0.451035617,0.388466475,Excluded as it was a meta-analysis.,100,,,,,
leroy,2005,116,B,1,Included,Included,Included,,,,,0.294599372,956,0.323496918,0.265701827,Excluded as meta-analysis. ,275,,,,,
leroy,2005,116,C,1,Included,Included,Included,,,,,0.187554393,956,0.212299418,0.162809369,Excluded as meta-analysis. ,500,,,,,
liang,2009,57,D,2,Included,Included,Included,,Included,Included,,,,,,,,,,,,
lima,2016,58,D,1,Included,,,,Included,Included,,,,,,,,,,,,
loh,2021,59,G,1,,,,,,Included,Included,,,,,,,,,,,
loh,2021,59,F,1,,,,,,Included,Included,,,,,,,,,,,
malaba,2022,60,F,2,,,,,,Included,Included,,,,,,,,,,,
malaba,2022,60,F,1,,,,,,Included,Included,,,,,,,,,,,
mandelbrot,2015,61,G,1,Included,,Included,,Included,Included,,,,,,,,,,,,
marazzi,2010,62,F,2,Included,,Included,,,Included,,,,,,,,,,,,
marazzi,2010,62,F,1,,,Included,,,Included,,,,,,,,,,,,
marazzi,2010,62,H,1,Included,,Included,,Included,Included,,,,,,,,,,,,
marazzi,2010,62,H,2,,,Included,,Included,Included,,,,,,,,,,,,
marinda,2011,63,D,1,,,Included,,,Included,,,,,,,,,,,,
marinda,2011,63,A,1,,,,,Included,Included,,,,,,,,,,,,
marinda,2011,63,B,1,,,,,,Included,,,,,,,,,,,,
marinda,2011,63,C,1,,,,,,Included,,,,,,,,,,,,
martinson,2007,64,J,1,Included,,Included,,Included,Included,,,,,,,,,,,,
mayaux,1995,65,A,1,Included,Included,Included,,Included,Included,,,,,,,,,,,,
mayaux,1995,65,B,1,,,,,,Included,,,,,,,,,,,,
mayaux,1995,65,C,1,Included,Included,Included,,Included,Included,,,,,,,,,,,,
meggi,2018,66,I,1,,,,,,Included,Included,,,,,,,,,,,
meyers,2015,67,F,1,,,Included,,,Included,,,,,,,,,,,,
mofenson,2009,117,A,2,,Included,Included,,,,Excluded,,,,,IAS abstract,,,,,,
mofenson,2009,117,C,2,Included,Included,Included,,,,Excluded,0.0069,,,,IAS abstract,,,,,,
moodley,2003,68,J,1,Included,Included,Included,,Included,Included,,,,,,,,,,,,
mugerwa,2014,118,K,1,Included,,Included,,Included,,,0.028,1049,0.037983446,0.018016554,Excluded as not a peer reviewed study. ,,,,,,
mugerwa,2014,118,H,1,Included,,Included,,Included,,,0.015,3283,0.019157999,0.010842001,not peer reviewed,,,,,,
mugerwa,2014,118,I,1,Included,,Included,,Included,,,0.028,1049,0.037983446,0.018016554,,,,,,,
myer,2017,69,F,1,,,,,,Included,,,,,,,,,,,,
myer,2017,69,H,1,Included,,,,Included,Included,,,,,,,,,,,,
