"draw","variable","value"
1,"(Intercept)",-4.21309418977955
2,"(Intercept)",-4.32496482258891
3,"(Intercept)",-4.05219285092567
4,"(Intercept)",-4.54366937589114
5,"(Intercept)",-4.5404129101267
6,"(Intercept)",-4.35796417306469
7,"(Intercept)",-4.09051338263251
8,"(Intercept)",-4.35174860593372
9,"(Intercept)",-4.44268641462563
10,"(Intercept)",-4.13979973288713
11,"(Intercept)",-4.4189384786737
12,"(Intercept)",-4.15466984456401
13,"(Intercept)",-4.16766793679739
14,"(Intercept)",-4.33226633870035
15,"(Intercept)",-4.33449895900779
16,"(Intercept)",-4.16920745007491
17,"(Intercept)",-4.16316790674253
18,"(Intercept)",-4.34038679859711
19,"(Intercept)",-4.24758910995217
20,"(Intercept)",-4.19231874568506
21,"(Intercept)",-4.42009927936138
22,"(Intercept)",-4.28688574432854
23,"(Intercept)",-4.23748192297441
24,"(Intercept)",-3.93436898074932
25,"(Intercept)",-4.36911850382132
26,"(Intercept)",-4.31711032650149
27,"(Intercept)",-4.33251989914342
28,"(Intercept)",-4.15893607304892
29,"(Intercept)",-4.1200846727882
30,"(Intercept)",-4.24643736227567
31,"(Intercept)",-4.13177777564706
32,"(Intercept)",-4.29486559889872
33,"(Intercept)",-4.21612541617003
34,"(Intercept)",-4.15829627141254
35,"(Intercept)",-4.40245360831607
36,"(Intercept)",-4.20177188691054
37,"(Intercept)",-4.40937888265615
38,"(Intercept)",-4.29969231384714
39,"(Intercept)",-4.50320428366729
40,"(Intercept)",-4.20255793895857
41,"(Intercept)",-4.1692434924177
42,"(Intercept)",-4.41175042618715
43,"(Intercept)",-4.35698368086169
44,"(Intercept)",-4.19570300292136
45,"(Intercept)",-4.29691101373441
46,"(Intercept)",-4.17038084426662
47,"(Intercept)",-4.28278898859631
48,"(Intercept)",-4.02438331793472
49,"(Intercept)",-4.27363401657774
50,"(Intercept)",-4.34506110311221
51,"(Intercept)",-4.38304273383409
52,"(Intercept)",-4.15733290641089
53,"(Intercept)",-4.31621764896498
54,"(Intercept)",-4.11677757897703
55,"(Intercept)",-4.45471150923453
56,"(Intercept)",-4.00726523826312
57,"(Intercept)",-4.38672030479543
58,"(Intercept)",-4.39590706187595
59,"(Intercept)",-4.37170385322839
60,"(Intercept)",-4.02787256412877
61,"(Intercept)",-4.4176489488644
62,"(Intercept)",-4.29491569926916
63,"(Intercept)",-4.31210403625778
64,"(Intercept)",-4.1744963351762
65,"(Intercept)",-4.42436808432609
66,"(Intercept)",-4.29991437978972
67,"(Intercept)",-4.3843150530698
68,"(Intercept)",-4.19609080522897
69,"(Intercept)",-4.2686312719754
70,"(Intercept)",-4.31804731686979
71,"(Intercept)",-4.51778212727391
72,"(Intercept)",-4.28316072016611
73,"(Intercept)",-4.18260761382779
74,"(Intercept)",-4.39027175617615
75,"(Intercept)",-4.59080066339033
76,"(Intercept)",-4.27132728985858
77,"(Intercept)",-4.53593940334509
78,"(Intercept)",-4.22348704247887
79,"(Intercept)",-4.55860772174355
80,"(Intercept)",-4.19144564222241
81,"(Intercept)",-4.18393222459544
82,"(Intercept)",-4.40047603762174
83,"(Intercept)",-4.08353815753647
84,"(Intercept)",-4.17635204165672
85,"(Intercept)",-4.05906371300426
86,"(Intercept)",-4.4083302034958
87,"(Intercept)",-4.35658411073709
88,"(Intercept)",-4.43127329558823
89,"(Intercept)",-4.38768459211398
90,"(Intercept)",-4.12759125120876
91,"(Intercept)",-4.02567011758485
92,"(Intercept)",-4.14494447875296
93,"(Intercept)",-4.16875816210681
94,"(Intercept)",-4.26880994775358
95,"(Intercept)",-4.16708794338991
96,"(Intercept)",-4.51525024822846
97,"(Intercept)",-4.16612345684838
98,"(Intercept)",-3.9376420134176
99,"(Intercept)",-4.24782486979325
100,"(Intercept)",-4.46371181865312
101,"(Intercept)",-4.15612157025598
102,"(Intercept)",-4.41598097565478
103,"(Intercept)",-4.38844656005508
104,"(Intercept)",-4.30577992882951
105,"(Intercept)",-4.22872561720819
106,"(Intercept)",-4.49162114531494
107,"(Intercept)",-4.18750513327332
108,"(Intercept)",-4.0092697042726
109,"(Intercept)",-4.61771351337719
110,"(Intercept)",-4.10671027701838
111,"(Intercept)",-4.3784861794642
112,"(Intercept)",-4.40779196837406
113,"(Intercept)",-4.31262745396588
114,"(Intercept)",-4.23277498224944
115,"(Intercept)",-4.37326949257288
116,"(Intercept)",-4.41552695488501
117,"(Intercept)",-4.5493691677228
118,"(Intercept)",-4.42370054835839
119,"(Intercept)",-4.19999015237773
120,"(Intercept)",-4.06965727010205
121,"(Intercept)",-4.19650783895682
122,"(Intercept)",-4.30629763273694
123,"(Intercept)",-4.2478747515253
124,"(Intercept)",-4.29097738530803
125,"(Intercept)",-4.08878484436257
126,"(Intercept)",-4.26885572427038
127,"(Intercept)",-4.23669780280083
128,"(Intercept)",-4.09508222445903
129,"(Intercept)",-4.30122554439881
130,"(Intercept)",-4.4439576989449
131,"(Intercept)",-4.25827544034416
132,"(Intercept)",-4.15595361079944
133,"(Intercept)",-4.41254820849631
134,"(Intercept)",-4.27142082464217
135,"(Intercept)",-4.00657829996734
136,"(Intercept)",-4.27989143358187
137,"(Intercept)",-4.4976748980881
138,"(Intercept)",-4.10176705333677
139,"(Intercept)",-4.29819892533647
140,"(Intercept)",-4.15589460334924
141,"(Intercept)",-4.30790873383982
142,"(Intercept)",-3.7993797370083
143,"(Intercept)",-4.10695590902782
144,"(Intercept)",-4.1958244214364
145,"(Intercept)",-4.128509736071
146,"(Intercept)",-4.39916075127559
147,"(Intercept)",-4.1752671026492
148,"(Intercept)",-4.24641826972839
149,"(Intercept)",-4.19010160992809
150,"(Intercept)",-4.44530263803135
151,"(Intercept)",-4.37158216494188
152,"(Intercept)",-4.29388351352845
153,"(Intercept)",-4.53999462678125
154,"(Intercept)",-4.51242271674673
155,"(Intercept)",-4.47282722147931
156,"(Intercept)",-4.39125956390111
157,"(Intercept)",-4.21305443928196
158,"(Intercept)",-4.45457164910934
159,"(Intercept)",-4.31397928139966
160,"(Intercept)",-4.14889930350907
161,"(Intercept)",-4.29671967083251
162,"(Intercept)",-4.28712003656106
163,"(Intercept)",-4.41889178246384
164,"(Intercept)",-4.0422380296003
165,"(Intercept)",-4.05938531047604
166,"(Intercept)",-4.21157274014855
167,"(Intercept)",-4.35864709676784
168,"(Intercept)",-4.2556785613444
169,"(Intercept)",-4.17551481422335
170,"(Intercept)",-4.20383813314538
171,"(Intercept)",-4.40261383225037
172,"(Intercept)",-4.19341882025825
173,"(Intercept)",-4.5658333834074
174,"(Intercept)",-4.15661856524379
175,"(Intercept)",-4.39366946441823
176,"(Intercept)",-4.42926596297041
177,"(Intercept)",-4.24299418532966
178,"(Intercept)",-4.20396903477487
179,"(Intercept)",-4.43577328952007
180,"(Intercept)",-4.24884772651083
181,"(Intercept)",-4.11621622239483
182,"(Intercept)",-4.19607437124572
183,"(Intercept)",-4.24205050113381
184,"(Intercept)",-4.35522931180608
185,"(Intercept)",-4.24660216050958
