"level_0","level_1","level_2","color","fontface","study_label","n.e","left_lab","est","lower","upper","formatted_pred","sr_default","sr_2019","sr_2024"
"Model 4","bf","ART initiated preconception","red","plain","Aebi-Popp, 2022",21,NA,0.0161376378813808,0.00226378301836558,0.115620434264504,"0.02 (0.00, 0.12)","","","Included"
"Model 3","peri","ART initiated preconception","red","plain","Aebi-Popp, 2022",21,"40",0.327261352285584,0.096430262620522,1.03962453756996,"0.33 (0.10, 1.04)","","","Included"
"Model 3","peri","ART initiated before last month","red","plain","Amone, 2023",431,"20",1.43660392350534,0.735252946403573,2.75521041304348,"1.44 (0.74, 2.76)","","","Included"
"Model 3","peri","ART initiated in last month","black","plain","Bailey, 2011",41,"1",9.13408828149147,4.04233017919548,18.8718846890371,"9.13 (4.04, 18.87)","","","Included"
"Model 1","bf","CD4 midpoint >350","grey","plain","Becquet, 2010",NA,NA,0.96,NA,NA,"0.96 (NA, NA)","Included","",""
"Model 2","peri","Infection","black","plain","Birkhead, 2010",41,NA,20.0816533330947,12.3809232604294,31.6029746630295,"20.1 (12.4, 31.6)","Included","Included","Included"
"Model 3","peri","ART initiated before last month","black","plain","Black, 2008",302,"13",0.870005781238333,0.354407415308469,2.04701844805854,"0.87 (0.35, 2.05)","","","Included"
"Model 3","peri","ART initiated preconception","black","plain","Blonk, 2015",7,"40",0.33013482394117,0.0939026935740892,1.18906152907883,"0.33 (0.09, 1.19)","Included","Included","Included"
"Model 3","peri","ART initiated before last month","black","plain","Bornhede, 2018",3,"14",1.43791072639702,0.435088356858441,4.74527076811225,"1.44 (0.44, 4.75)","","","Included"
"Model 3","peri","ART initiated preconception","black","plain","Bornhede, 2018",10,"40",0.327475270166711,0.0898480821141345,1.14990152160931,"0.33 (0.09, 1.15)","Included","Included","Included"
"Model 3","peri","ART initiated before last month","black","plain","Carey, 2018",67,"18",0.907616616065039,0.294842866833199,2.60796437185241,"0.91 (0.29, 2.61)","","","Included"
"Model 3","peri","ART initiated preconception","black","plain","Carey, 2018",65,"40",0.284513216918172,0.083301242387406,0.908975786830192,"0.28 (0.08, 0.91)","Included","Included","Included"
"Model 1","bf","CD4 midpoint >350","black","plain","Chasela, 2010",668,"442",0.869463145358274,0.502353591288061,1.52351874294511,"0.87 (0.50, 1.52)","","Included","Included"
