"level_0","level_1","level_2","color","fontface","study_label","n.e","left_lab","est","lower","upper","formatted_pred","sr_default","sr_2019","sr_2024"
"Model 4","bf","ART initiated preconception","red","plain","'Aebi-Popp, 2022'^1",21,NA,0.0160746794277545,0.00225030365129777,0.114027055147456,"0.02 (0.00, 0.11)","","","Included"
"Model 3","peri","ART initiated preconception","red","plain","'Aebi-Popp, 2022'^1",21,"40",0.322699057613355,0.091479323955004,1.15164605985661,"0.32 (0.09, 1.15)","","","Included"
"Model 3","peri","ART initiated before last month","red","plain","'Amone, 2023'^2",431,"20",1.43720679784151,0.732871958320232,2.70912665324139,"1.44 (0.73, 2.71)","","","Included"
"Model 3","peri","ART initiated in last month","black","plain","'Bailey, 2011'^3",41,"1",9.19713169032053,4.15036780726461,19.6631880361308,"9.20 (4.15, 19.66)","","","Included"
"Model 1","bf","CD4 midpoint >350","grey","plain","'Becquet, 2010'^111",NA,NA,0.96,NA,NA,"0.96 (NA, NA)","Included","",""
"Model 2","peri","Infection","black","plain","'Birkhead, 2010'^4",41,NA,20.2404967556455,12.0038318686809,31.0287043708477,"20.2 (12.0, 31.0)","Included","Included","Included"
"Model 3","peri","ART initiated before last month","black","plain","'Black, 2008'^5",302,"13",0.852102329303783,0.357760940745707,2.10572481752445,"0.85 (0.36, 2.11)","","","Included"
"Model 3","peri","ART initiated preconception","black","plain","'Blonk, 2015'^6",7,"40",0.337649201720353,0.0966475985547518,1.17875291827135,"0.34 (0.10, 1.18)","Included","Included","Included"
"Model 3","peri","ART initiated before last month","black","plain","'Bornhede, 2018'^7",3,"14",1.47665935571128,0.468725442947201,4.58460086722259,"1.48 (0.47, 4.58)","","","Included"
"Model 3","peri","ART initiated preconception","black","plain","'Bornhede, 2018'^7",10,"40",0.337434251357985,0.0963049912582127,1.1596348490059,"0.34 (0.10, 1.16)","Included","Included","Included"
"Model 3","peri","ART initiated before last month","black","plain","'Carey, 2018'^8",67,"18",0.884649316760878,0.290191409318005,2.71688632778565,"0.88 (0.29, 2.72)","","","Included"
"Model 3","peri","ART initiated preconception","black","plain","'Carey, 2018'^8",65,"40",0.283917575805675,0.0788776106290326,0.920081329052627,"0.28 (0.08, 0.92)","Included","Included","Included"
"Model 1","bf","CD4 midpoint >350","black","plain","'Chasela, 2010'^9",668,"442",0.873375976916298,0.500603797428704,1.52267420807068,"0.87 (0.50, 1.52)","","Included","Included"
"Model 2","bf","Option A","black","plain","'Chasela, 2010'^9",748,NA,0.22916832884642,0.0729781761813042,0.719160479064632,"0.23 (0.07, 0.72)","Included","Included","Included"
"Model 2","bf","Dual ARV","grey","plain","'Chasela, 2010'^9",748,NA,0.31,0,0.97,"0.31 (0.00, 0.97)","Included","Included",""
"Model 3","peri","ART initiated preconception","red","plain","'Chauhan, 2021'^10",32,"40",0.321476757891498,0.0897347712477376,1.06222632904167,"0.32 (0.09, 1.06)","","","Included"
"Model 3","peri","ART initiated before last month","red","plain","'Chen, 2019'^11",446,"13",3.76204889125759,2.36388207684279,5.78381964966329,"3.76 (2.36, 5.78)","","","Included"
